,Betweenness Centrality,Constraint,Broker Coefficient
joel,0.7567567567567568,0.18671266485852764,1.5700440918982292
ideas,0.6870554765291608,0.15025666729282833,1.5367988092363325
software,0.0,0.15538113672243553,0.8446188632775644
history,0.0,0.15558748093115646,0.8444125190688435
cogsci,0.0,0.1581926342700537,0.8418073657299463
philosophy,0.0,0.15832964314305312,0.8416703568569469
guns,0.0,0.15923101291877792,0.840768987081222
photography,0.0,0.159649850293385,0.840350149706615
scifi,0.0,0.16052497266376556,0.8394750273362345
Health,0.0,0.1620944906495791,0.8379055093504209
