,Betweenness Centrality,Constraint,Broker Coefficient
7oby,0.01820176863593321,1.0,0.01820176863593321
alllie,0.010269604172873875,1.0,0.010269604172873875
jordanlund,0.01006783887903958,1.0,0.01006783887903958
mutatron,0.00944534809863439,1.0,0.00944534809863439
Prysorra,0.008864707686398644,1.0,0.008864707686398644
tsteele93,0.008327909330600037,1.0,0.008327909330600037
bobcat,0.007335129595427399,1.0,0.007335129595427399
deuteros,0.007257203697657022,1.0,0.007257203697657022
stesch,0.007105197561343432,1.0,0.007105197561343432
Aerik,0.00665849284956834,1.0,0.00665849284956834
