,DC,CC,BC,EVC,DC_RANK,CC_RANK,BC_RANK,EVC_RANK,COMPOSITE_RANK
7oby,0.08234283259344122,0.30677516305596664,0.039196139170938664,0.15885647124045454,1.0,1.0,1.0,6.0,6.0
alllie,0.06630388085350136,0.2981190790604301,0.02320639746906585,0.42982710006987107,2.0,2.0,2.0,3.0,24.0
rmuser,0.04458446703899947,0.2848433995099317,0.012760778820493465,0.5194113655050256,3.0,4.0,3.0,1.0,36.0
qgyh2,0.03207790347987971,0.27984183349224767,0.011136086788674388,0.47287740300736,8.0,5.0,6.0,2.0,480.0
tsteele93,0.04157716358776075,0.2850079496226742,0.010237132345322192,0.09039766634946653,4.0,3.0,7.0,9.0,756.0
deuteros,0.0382834502840231,0.2780589209801061,0.009183417762091268,0.06641069036884227,5.0,7.0,8.0,17.0,4760.0
bobcat,0.033796362594873265,0.27939396528973137,0.008762830169943827,0.06861486122462515,6.0,6.0,9.0,15.0,4860.0
Aerik,0.02811590052031123,0.2746401361734189,0.007123779378206839,0.09744490848658988,10.0,8.0,12.0,8.0,7680.0
glengyron,0.026158766528235237,0.2617300543484523,0.008281394668555044,0.0815315676513459,12.0,19.0,11.0,10.0,25080.0
AMerrickanGirl,0.026970261110315526,0.2728570588471674,0.0053824418513652664,0.0712703506282438,11.0,10.0,23.0,14.0,35420.0
